x,y
-0.013815743934183177,0.06138583891700331
-0.013047064582824189,0.06638761538210254
-0.01198035659262764,0.06962388474899095
-0.010877347866105995,0.07080063153277591
-0.009961324084064707,0.07391068934778958
-0.008787250190325016,0.078585421400527
-0.007148291191291085,0.08318695483175384
-0.00525741100051816,0.08754014662593179
-0.0030322461735202786,0.09172942628095426
-0.0005191176439331121,0.09572346235759047
0.002241737824249684,0.09955402832282421
0.005215991771816077,0.10325382375995407
0.008374545912313475,0.10680282735645066
0.011714721644971537,0.11021840683310626
0.015228125368539028,0.11352008470979057
0.018850194818411325,0.11670147560676543
0.022568429388175482,0.11977014264369469
0.02637175588953148,0.12273333884925515
0.030251821297609185,0.12559859165319975
0.03420080990880583,0.12837275385408478
0.03820988977856027,0.131061555995024
0.042271736800050023,0.13367069207018398
0.04638021217804695,0.13620566779008636
0.0505301112208624,0.13867171324765584
0.05471697528370571,0.14107374014415405
0.05893674706924716,0.14341621928446427
0.06318482319317656,0.14570276461199427
0.06776845068158575,0.14737113027419316
0.07219887406678337,0.14941359833361212
0.07649855371212315,0.15180394341590112
0.08055195345323583,0.1544202138780419
0.08441429674581082,0.1572305930340366
0.08808959666251615,0.16022556745266475
0.091602473453393,0.16341756454712555
0.09496276778228624,0.16677747661967482
0.09820767578816522,0.17034486350989003
0.10132632818880935,0.17402096231537015
0.10432770888238697,0.17779273795338885
0.1072202956567165,0.18164875253458032
0.11001233833840834,0.1855796100910442
0.11271204637810664,0.18957844770918397
0.11532586526101148,0.19363605872106665
0.11786007882808568,0.19774469485639326
0.12032073972172233,0.20189793435552159
0.12271357586245141,0.20609039666828838
0.12504394530654375,0.21031752463828635
0.12731652663547488,0.2145748380206732
0.12953518178554238,0.2188574505491898
0.13170376787052804,0.2231615336821108
0.13382624372790847,0.22748452288404009
0.13590664164833177,0.2318250508575481
0.13794895621466782,0.23618268151732022
0.13995698124748165,0.24055749421326356
0.14193413669190738,0.24494960633568777
0.14388332843997909,0.24935873922468346
0.14580687564040878,0.25378392356822665
0.1477065241208504,0.2582234085728986
0.1495835447927851,0.262674791857858
0.15083673833966213,0.2674116260509701
0.15252148857989611,0.27202316098478735
0.15461314388481065,0.2765269585481145
0.15695277952596035,0.280738867709223
0.15941114994177844,0.2844815340300243
0.16191655050582704,0.28771337092528615
0.16477685615235033,0.2914790201726324
0.1678585913134396,0.29508087973346586
0.17114989650068269,0.2985333798241505
0.17464566148810656,0.30186014870321864
0.17826287724740283,0.3050515957292383
0.18198634204429057,0.3081166372295775
0.18580293921953625,0.3110639708760836
0.18970126796825199,0.3139019508995026
0.19367310767283744,0.31663916250331064
0.19771016327818106,0.3192831585335772
0.20180384173989444,0.321840582780696
0.20594695887911837,0.32431785688373765
0.21013346361063284,0.3267210830682151
0.21435821934512253,0.32905599295982324
0.21861683398956774,0.3313279275079501
0.22290501800138496,0.333541586808443
0.22721796155245144,0.3357008249645888
0.23155185915868948,0.3378094664048685
0.23590416292604213,0.33987142898313033
0.2402735289944935,0.34189069984934894
0.24465955987231244,0.34387122969753436
0.24906239159361485,0.3458167755478279
0.2534822138308833,0.34773073265767546
0.2579188287672232,0.3496159973361529
0.26237134667026574,0.35147489438082635
0.26683808478758136,0.35330918756121577
0.27131668894639993,0.35512017252344846
0.2758044452674705,0.35690883290895753
0.28029870492859604,0.3586760264387979
0.28479731844615447,0.3604226612807969
0.28929897383387476,0.3621498255787661
0.2938033558891643,0.363858843957053
0.29831108642527093,0.36555125158851287
0.3028234574212834,0.3672286951555988
0.3073420183644766,0.3688927864299963
0.3118681137710005,0.3705449445132676
0.31640247880396144,0.3721862647334047
0.32094498734860594,0.3738174454419106
0.32549461115494377,0.37543879014448434
0.3300495991589954,0.3770502847358672
0.3346078344206938,0.378651732141329
